age,marital,education,balance,housing,loan,duration,y
35,single,primary,434,no,no,138,no
60,divorced,secondary,92,yes,no,130,no
53,divorced,secondary,1151,yes,no,412,no
48,married,secondary,41,yes,no,179,no
34,married,secondary,51,yes,no,19,no
54,married,secondary,214,yes,no,458,no
51,married,secondary,1161,yes,no,717,no
31,married,tertiary,37,yes,no,313,no
35,divorced,secondary,787,yes,no,683,no
35,married,secondary,59,yes,no,1077,no
38,married,secondary,253,yes,no,416,no
36,married,tertiary,211,yes,no,146,no
58,married,primary,235,yes,no,167,no
40,divorced,unknown,4384,yes,no,315,no
54,married,secondary,4080,no,no,140,no
34,single,secondary,53,yes,yes,346,no
31,single,tertiary,0,yes,no,562,no
51,married,secondary,2127,yes,no,172,no
33,married,tertiary,377,yes,no,217,no
55,married,tertiary,73,yes,no,142,no
42,married,secondary,445,yes,no,67,no
34,married,secondary,243,yes,no,291,no
33,single,secondary,307,yes,no,309,no
38,married,secondary,155,yes,no,248,no
50,divorced,tertiary,173,no,yes,98,no
43,married,tertiary,400,yes,no,256,no
61,divorced,primary,1428,yes,no,82,no
47,married,secondary,219,yes,no,577,no
48,married,tertiary,7,yes,no,286,no
44,married,secondary,575,yes,no,477,no
35,single,unknown,298,yes,no,611,no
35,married,secondary,0,yes,no,471,no
50,married,secondary,5699,yes,no,381,no
41,married,tertiary,176,yes,yes,42,no
41,married,tertiary,517,yes,no,251,no
39,single,unknown,257,yes,no,408,no
42,married,secondary,56,yes,no,215,no
38,married,secondary,-390,yes,no,287,no
53,married,secondary,330,yes,no,216,no
59,divorced,primary,195,no,no,366,no
36,married,secondary,301,yes,no,210,no
54,married,primary,-41,yes,no,288,no
40,married,tertiary,483,yes,no,168,no
47,married,unknown,28,no,no,338,no
53,married,unknown,13,no,no,410,no
46,married,primary,965,no,no,177,no
39,married,tertiary,378,yes,yes,127,no
40,married,secondary,219,yes,no,357,no
28,married,primary,324,yes,no,175,no
35,divorced,secondary,-69,yes,no,300,no
55,married,secondary,0,no,yes,136,no
43,divorced,unknown,205,yes,no,1419,no
48,married,primary,278,yes,no,125,no
58,married,unknown,1065,yes,no,213,no
33,single,tertiary,34,yes,no,27,no
36,married,unknown,1033,no,no,238,no
53,divorced,secondary,1467,yes,no,124,no
47,married,primary,-12,yes,no,18,no
31,married,secondary,388,yes,no,730,no
57,married,secondary,294,yes,no,746,no
53,married,unknown,1827,no,no,121,no
55,married,primary,627,yes,no,247,no
45,married,primary,25,yes,no,40,no
53,divorced,secondary,315,yes,no,181,no
37,married,primary,0,yes,no,79,no
44,divorced,secondary,66,yes,no,206,no
49,divorced,primary,-9,yes,yes,389,no
46,married,secondary,349,yes,yes,127,no
43,married,unknown,100,yes,no,702,no
38,married,secondary,0,no,no,151,no
43,married,secondary,434,yes,no,117,no
49,married,tertiary,3237,yes,no,232,no
42,married,unknown,275,no,no,408,no
22,single,secondary,0,yes,no,179,no
40,married,tertiary,207,yes,no,39,no
39,married,secondary,483,yes,no,282,no
51,married,secondary,2248,yes,no,714,no
49,married,secondary,428,yes,no,50,no
53,married,secondary,0,yes,yes,181,no
34,single,secondary,0,yes,no,142,no
33,divorced,secondary,140,yes,no,227,no
50,single,tertiary,297,yes,no,119,no
39,married,primary,279,yes,no,361,no
59,divorced,secondary,901,yes,no,73,no
30,single,secondary,2573,yes,no,67,no
36,married,secondary,143,yes,yes,350,no
40,married,secondary,475,yes,no,332,no
53,married,secondary,70,yes,no,611,no
34,single,tertiary,318,yes,no,113,no
37,married,secondary,275,yes,no,132,no
42,divorced,tertiary,742,yes,no,58,no
41,married,primary,236,yes,no,151,no
30,single,tertiary,25,yes,no,89,no
37,single,tertiary,600,yes,no,152,no
39,divorced,secondary,-349,yes,no,611,no
41,married,primary,183,yes,yes,110,no
40,married,primary,0,yes,no,463,no
42,single,tertiary,0,yes,yes,562,yes
40,divorced,primary,0,yes,no,962,no
57,married,secondary,1078,yes,no,10,no
56,divorced,secondary,155,no,no,118,no
37,married,secondary,190,yes,no,92,no
59,married,secondary,319,yes,no,143,no
39,divorced,secondary,-185,yes,no,189,no
49,married,secondary,47,no,no,234,no
38,single,secondary,570,yes,no,75,no
36,married,tertiary,19,no,no,189,no
50,married,primary,61,yes,no,621,no
41,married,secondary,-62,yes,yes,55,no
54,married,tertiary,258,no,no,310,no
58,married,primary,76,yes,no,156,no
30,single,secondary,0,yes,no,5,no
33,single,secondary,352,yes,no,225,no
47,married,secondary,368,yes,no,125,no
50,single,tertiary,339,yes,no,2,no
32,married,secondary,1331,yes,no,286,no
40,married,secondary,672,yes,no,164,no
37,married,tertiary,58,yes,no,98,no
54,single,unknown,447,yes,no,742,no
24,single,secondary,423,yes,no,226,no
54,married,tertiary,0,no,no,120,no
34,married,secondary,19,yes,no,362,no
56,divorced,primary,13,yes,no,357,no
31,single,secondary,3,yes,no,200,no
24,single,secondary,82,yes,no,204,no
42,divorced,primary,28,yes,no,126,no
57,married,secondary,792,yes,no,65,no
42,married,unknown,408,yes,no,107,no
51,married,secondary,531,yes,no,267,no
57,married,secondary,211,yes,no,248,no
36,single,secondary,62,yes,no,215,no
53,married,unknown,257,yes,no,209,no
50,married,secondary,1234,yes,no,205,no
54,married,tertiary,313,yes,no,83,no
55,married,secondary,89,yes,no,106,no
44,married,secondary,129,yes,yes,189,no
43,married,unknown,0,yes,no,105,no
56,married,secondary,353,yes,no,106,no
54,married,unknown,851,yes,no,108,no
55,divorced,primary,96,yes,yes,311,no
37,divorced,secondary,398,yes,yes,214,no
33,single,tertiary,193,no,no,132,no
46,married,secondary,-358,yes,no,358,no
36,married,secondary,539,yes,yes,453,no
51,single,secondary,0,yes,no,364,no
40,single,primary,0,no,no,136,no
42,married,secondary,490,yes,no,386,no
51,married,secondary,0,yes,no,173,no
49,married,unknown,403,yes,no,241,no
48,married,secondary,161,yes,no,224,no
32,divorced,tertiary,2558,no,no,148,no
31,single,secondary,98,yes,no,196,no
55,single,tertiary,115,no,no,111,no
40,single,secondary,436,yes,no,231,no
47,married,tertiary,831,yes,no,316,no
57,married,unknown,206,yes,no,216,no
41,married,secondary,290,yes,no,240,no
48,married,secondary,1,no,no,669,no
42,married,unknown,57,yes,no,425,no
30,single,secondary,-457,yes,no,143,no
58,single,tertiary,1387,yes,no,174,no
45,divorced,tertiary,24598,yes,no,313,no
49,married,secondary,30,yes,no,135,no
42,single,secondary,1022,yes,no,146,no
53,married,secondary,56,yes,yes,152,no
51,single,secondary,-2,no,no,402,no
32,single,secondary,121,yes,no,213,no
41,single,secondary,842,yes,no,144,no
43,divorced,secondary,693,yes,no,124,no
40,divorced,secondary,-333,yes,no,183,no
50,married,primary,1533,yes,no,325,no
34,married,tertiary,46,yes,no,39,no
53,married,unknown,18,no,no,503,no
45,married,secondary,44,yes,no,95,no
39,married,primary,-100,yes,no,680,no
44,married,tertiary,510,yes,no,421,no
55,married,tertiary,685,yes,no,174,no
46,single,tertiary,187,yes,no,113,no
45,married,secondary,66,yes,no,808,no
34,married,secondary,560,yes,no,198,no
36,married,secondary,0,yes,no,195,no
59,divorced,unknown,27,no,no,347,no
31,single,secondary,12,yes,no,208,no
44,single,secondary,34,yes,no,404,no
33,single,tertiary,1068,yes,no,396,no
40,married,secondary,211,yes,no,216,no
46,single,tertiary,377,yes,no,98,no
48,married,tertiary,263,yes,no,350,no
42,married,secondary,1263,yes,no,114,no
27,married,secondary,8,yes,no,88,no
48,married,secondary,126,yes,yes,379,no
59,married,secondary,230,yes,no,190,no
46,married,tertiary,841,yes,no,158,no
38,divorced,secondary,308,yes,no,102,no
43,divorced,tertiary,1,yes,no,306,no
38,divorced,tertiary,86,yes,no,218,no
23,single,secondary,157,yes,no,54,no
34,married,secondary,22,yes,no,344,no
38,married,secondary,46,yes,yes,195,no
37,married,secondary,1293,no,no,652,no
25,single,secondary,122,yes,no,286,no
48,married,unknown,131,yes,no,189,no
49,single,secondary,143,yes,no,83,no
38,single,secondary,393,no,no,184,no
43,married,primary,98,yes,no,235,no
33,married,tertiary,0,yes,no,290,no
55,married,secondary,224,yes,no,232,no
38,married,secondary,757,yes,no,133,no
49,married,secondary,245,yes,yes,318,no
40,married,secondary,8486,no,no,260,no
43,married,unknown,350,no,no,437,no
38,married,secondary,20,yes,no,402,no
58,married,secondary,1667,yes,yes,85,no
57,married,unknown,345,yes,no,125,no
32,married,secondary,10,yes,no,501,no
56,married,tertiary,830,yes,yes,1201,yes
58,divorced,unknown,29,yes,no,253,no
60,divorced,secondary,545,yes,no,1030,yes
37,married,tertiary,8730,yes,no,149,no
46,divorced,tertiary,477,yes,no,114,no
27,married,secondary,4,yes,no,243,no
43,married,secondary,1205,yes,no,769,no
32,single,secondary,0,yes,yes,135,no
40,single,secondary,263,yes,no,231,no
38,married,secondary,1,no,no,76,no
34,married,secondary,283,no,yes,199,no
47,married,primary,206,yes,no,152,no
42,married,primary,17,yes,no,124,no
48,married,secondary,141,yes,yes,424,no
29,single,tertiary,16,yes,no,43,no
50,married,secondary,206,yes,no,154,no
52,married,unknown,7,no,no,203,no
50,married,tertiary,0,no,no,326,no
58,married,tertiary,0,no,no,393,no
46,divorced,primary,1927,yes,no,241,no
38,married,secondary,284,yes,no,483,no
46,married,secondary,1660,yes,no,259,no
32,single,secondary,406,yes,no,227,no
51,married,primary,230,yes,no,673,no
39,single,secondary,-25,yes,no,576,no
48,married,secondary,182,yes,no,180,no
36,married,tertiary,1169,yes,no,168,no
34,divorced,secondary,67,yes,no,90,no
40,married,secondary,77,no,no,505,no
43,married,secondary,0,yes,no,245,no
52,divorced,primary,55,yes,yes,186,no
33,married,secondary,72,yes,no,623,no
49,single,tertiary,163,yes,no,496,no
32,single,tertiary,151,yes,no,118,no
39,single,secondary,113,yes,no,342,no
40,married,secondary,0,yes,no,225,no
38,single,tertiary,9,yes,no,185,no
43,married,secondary,375,yes,no,196,no
39,married,secondary,1142,yes,no,276,no
54,married,primary,2102,yes,no,76,no
38,single,tertiary,4325,yes,no,87,no
40,married,secondary,217,yes,no,195,no
55,married,secondary,131,yes,no,744,no
42,married,tertiary,1680,yes,no,765,no
39,married,secondary,0,yes,no,262,no
40,married,primary,46,yes,no,119,no
32,married,secondary,320,yes,no,198,no
55,married,secondary,183,yes,no,150,no
45,married,secondary,39,no,no,241,no
35,single,tertiary,560,yes,no,181,no
58,divorced,secondary,469,no,no,196,no
35,married,secondary,530,yes,no,149,no
49,married,primary,61,yes,no,246,no
34,single,tertiary,242,yes,no,112,no
36,married,secondary,139,yes,no,309,no
24,single,secondary,0,yes,no,278,no
34,married,secondary,367,yes,no,140,no
51,divorced,secondary,228,yes,no,136,no
39,single,unknown,45248,yes,no,1623,yes
50,married,unknown,-84,yes,no,101,no
32,single,secondary,310,yes,no,144,no
42,married,unknown,132,yes,no,238,no
50,married,secondary,797,yes,no,354,no
40,married,secondary,71,no,no,79,no
46,divorced,unknown,2,yes,no,187,no
37,married,tertiary,231,yes,yes,451,no
34,married,secondary,270,yes,yes,159,no
44,married,secondary,274,yes,yes,409,no
40,single,secondary,-109,yes,yes,170,no
37,married,secondary,1,yes,no,608,yes
33,single,secondary,-60,no,no,243,no
35,married,secondary,89,yes,no,145,no
58,divorced,secondary,-11,no,no,112,no
39,married,primary,0,yes,no,262,no
43,married,secondary,-509,yes,no,124,no
39,married,primary,408,yes,no,53,no
36,single,primary,58,yes,no,134,no
57,single,secondary,1640,no,yes,204,no
36,single,secondary,20,yes,no,186,no
50,married,primary,71,yes,no,678,no
55,married,secondary,52,yes,no,182,no
44,married,tertiary,292,yes,no,162,no
44,divorced,secondary,424,yes,no,27,no
39,single,primary,109,yes,no,699,no
46,married,unknown,1044,yes,no,43,no
39,married,secondary,983,yes,no,97,no
34,married,secondary,869,no,no,1677,yes
40,married,primary,668,yes,no,283,no
50,married,tertiary,964,yes,no,323,no
31,single,secondary,301,yes,no,82,no
37,single,secondary,140,yes,no,310,no
39,single,secondary,1877,yes,no,185,no
51,married,primary,1127,yes,no,47,no
41,married,secondary,871,yes,no,145,no
41,married,secondary,767,yes,yes,204,no
43,married,secondary,0,no,no,187,no
30,single,secondary,209,yes,no,30,no
54,divorced,primary,0,no,no,472,no
43,divorced,secondary,110,yes,yes,448,no
59,divorced,tertiary,-76,yes,yes,264,no
47,married,unknown,178,yes,no,169,no
40,married,primary,-66,yes,no,288,no
32,married,secondary,0,yes,no,176,no
29,married,secondary,1,yes,no,215,no
36,married,secondary,0,yes,no,337,no
55,married,tertiary,5345,no,no,278,no
30,divorced,secondary,-209,yes,no,188,no
39,single,secondary,0,yes,no,174,no
39,divorced,secondary,42,yes,no,226,no
50,divorced,secondary,41,yes,no,190,no
44,married,secondary,-99,yes,no,111,no
37,single,secondary,17,yes,no,164,no
46,married,primary,276,yes,yes,157,no
32,single,unknown,-170,no,no,46,no
37,single,tertiary,230,yes,yes,374,no
29,married,secondary,9,yes,no,349,no
41,married,secondary,946,yes,no,325,no
45,married,primary,1297,yes,no,233,no
57,divorced,secondary,-331,yes,no,531,no
48,single,secondary,44,yes,no,153,no
60,married,secondary,15,no,no,80,no
26,single,secondary,712,yes,no,232,no
58,married,secondary,5435,yes,no,118,no
34,married,secondary,507,yes,no,190,no
55,divorced,secondary,387,yes,no,918,yes
41,married,primary,0,yes,yes,238,no
50,divorced,secondary,1716,yes,no,82,no
49,married,secondary,167,yes,yes,198,no
44,married,unknown,40,no,yes,160,no
44,married,primary,148,yes,no,211,no
31,married,secondary,17,yes,yes,120,no
34,single,tertiary,1011,yes,no,136,no
46,single,unknown,1527,yes,no,269,no
42,married,tertiary,744,no,no,157,no
52,married,secondary,484,yes,no,128,no
29,single,tertiary,0,yes,no,211,no
53,married,primary,136,yes,no,267,no
43,married,secondary,1335,yes,no,371,no
38,married,secondary,517,yes,no,288,no
46,married,tertiary,459,yes,no,221,no
48,divorced,unknown,549,yes,no,427,no
30,divorced,secondary,83,yes,yes,310,no
44,married,primary,213,no,no,158,no
31,married,primary,203,yes,no,604,no
42,single,secondary,518,yes,no,198,no
40,single,tertiary,3877,yes,no,145,no
52,married,secondary,1236,yes,no,247,no
45,divorced,secondary,756,yes,no,179,no
48,married,secondary,157,yes,no,73,no
45,married,primary,-66,yes,no,263,no
34,married,unknown,245,yes,no,13,no
34,married,primary,-144,yes,no,79,no
46,married,secondary,71,yes,no,416,no
49,divorced,secondary,505,yes,no,162,no
50,married,primary,249,yes,no,129,no
34,single,secondary,0,yes,no,150,no
40,single,secondary,11,yes,no,43,no
36,married,secondary,639,yes,no,191,no
59,divorced,unknown,124,yes,no,26,no
45,married,secondary,82,yes,no,250,no
36,married,tertiary,107,yes,no,146,no
56,married,secondary,473,yes,no,416,no
42,divorced,secondary,372,yes,yes,121,no
30,married,secondary,46,yes,no,114,no
30,single,tertiary,34,yes,no,289,no
47,married,unknown,935,yes,no,225,no
33,married,secondary,-10,yes,no,123,no
36,married,secondary,-106,yes,no,130,no
39,divorced,primary,471,yes,no,161,no
56,divorced,secondary,778,yes,no,149,no
39,divorced,unknown,170,yes,no,268,no
42,married,secondary,315,yes,no,259,no
52,married,secondary,3165,no,no,26,no
36,divorced,secondary,131,yes,no,153,no
35,married,secondary,204,yes,no,424,no
47,married,secondary,83,yes,no,179,no
59,divorced,secondary,0,yes,yes,97,no
57,married,primary,5431,yes,yes,383,no
38,married,unknown,1759,yes,no,440,no
46,married,secondary,-125,yes,no,23,no
34,married,secondary,0,no,no,195,no
28,single,secondary,5090,yes,no,1297,yes
38,married,unknown,573,yes,no,87,no
56,married,secondary,1602,yes,no,427,no
41,single,primary,-137,yes,yes,189,no
52,married,unknown,0,no,no,195,no
54,married,secondary,193,no,no,179,no
61,married,secondary,195,yes,yes,179,no
53,married,secondary,288,no,no,69,no
47,married,secondary,19,yes,no,105,no
53,married,primary,25,yes,no,266,no
46,married,secondary,216,yes,no,524,no
39,divorced,primary,190,yes,yes,96,no
56,divorced,secondary,99,yes,no,155,no
55,divorced,primary,2298,yes,no,162,no
44,married,tertiary,17,yes,no,352,no
37,married,primary,0,yes,no,76,no
35,married,primary,0,yes,no,154,no
55,married,secondary,840,yes,no,310,no
37,married,secondary,358,yes,no,390,no
30,single,secondary,0,yes,no,369,no
37,married,primary,-325,yes,yes,112,no
36,single,secondary,-15,yes,no,341,no
38,married,secondary,581,yes,no,79,no
41,divorced,primary,4070,yes,no,140,no
48,married,secondary,74,no,yes,315,no
55,divorced,secondary,141,yes,no,262,no
28,divorced,secondary,89,no,no,174,no
54,married,secondary,0,yes,no,138,no
30,married,secondary,450,no,no,526,no
48,married,tertiary,310,no,no,135,no
31,married,secondary,0,yes,no,36,no
38,married,secondary,384,yes,no,1906,no
37,married,secondary,395,yes,no,219,no
37,single,unknown,-118,yes,no,147,no
56,married,primary,5,yes,yes,407,no
51,married,secondary,50,yes,yes,121,no
39,married,secondary,285,yes,yes,209,no
49,married,unknown,15,no,no,92,no
51,married,primary,653,yes,yes,208,no
43,married,secondary,918,yes,no,193,no
32,married,secondary,243,yes,yes,144,no
29,single,tertiary,405,yes,no,65,no
48,divorced,tertiary,1328,yes,no,339,no
55,married,primary,255,yes,no,285,no
53,married,secondary,3397,yes,no,231,no
47,married,unknown,2106,yes,no,168,no
39,married,tertiary,2877,yes,no,278,no
31,single,tertiary,60,yes,yes,389,no
39,married,primary,2226,yes,no,158,no
40,married,primary,2880,yes,no,145,no
40,single,unknown,-5,yes,no,78,no
48,married,secondary,147,no,no,142,no
33,divorced,secondary,7,yes,yes,87,no
40,married,secondary,109,yes,no,147,no
59,married,primary,-119,yes,no,289,no
30,married,secondary,484,yes,no,703,yes
31,single,tertiary,1852,yes,no,170,no
35,married,secondary,533,yes,no,802,no
54,divorced,secondary,21,yes,no,381,no
34,single,unknown,2434,yes,no,218,no
32,married,secondary,90,yes,yes,57,no
56,divorced,unknown,4246,yes,no,304,no
32,single,tertiary,395,yes,no,241,no
42,married,primary,15,yes,no,230,no
33,married,tertiary,85,no,no,262,no
52,married,tertiary,-184,yes,yes,392,no
52,married,secondary,660,no,no,201,no
52,divorced,primary,-183,yes,no,145,no
30,divorced,secondary,1144,yes,no,252,no
44,divorced,secondary,1,yes,no,235,no
35,married,secondary,69,yes,yes,235,no
55,single,secondary,220,yes,no,328,no
33,married,primary,332,yes,no,116,no
37,single,secondary,240,yes,no,246,no
42,single,secondary,0,yes,no,293,no
43,married,secondary,0,yes,no,37,no
38,married,tertiary,898,yes,no,132,no
37,married,secondary,123,yes,yes,530,no
31,single,secondary,252,yes,no,175,no
41,married,tertiary,65,yes,no,524,no
41,married,secondary,-366,yes,yes,29,no
29,single,secondary,209,yes,no,311,no
38,single,secondary,221,yes,no,211,no
44,divorced,tertiary,4,yes,no,312,no
39,married,secondary,104,yes,no,412,no
28,single,secondary,312,yes,no,392,no
33,married,secondary,-349,yes,no,191,no
41,married,unknown,4,no,no,284,no
40,married,primary,-322,yes,yes,144,no
29,married,secondary,-150,yes,no,328,no
38,married,unknown,1349,yes,no,100,no
32,married,tertiary,281,yes,no,226,no
45,married,secondary,1259,yes,no,507,no
33,single,secondary,101,yes,no,392,no
34,married,secondary,848,yes,no,684,no
41,married,unknown,89,yes,no,333,no
41,married,secondary,140,yes,no,311,no
35,single,secondary,148,yes,no,128,no
40,single,secondary,200,yes,no,322,no
60,married,primary,46,yes,no,202,no
47,divorced,secondary,201,yes,no,92,no
46,married,primary,530,yes,no,739,no
31,single,secondary,0,yes,no,273,no
49,married,secondary,1,yes,no,260,no
29,married,secondary,43,yes,no,268,no
31,single,tertiary,-173,yes,no,396,no
38,married,tertiary,389,yes,no,262,no
37,married,primary,215,yes,yes,308,no
35,married,secondary,-131,yes,no,467,no
31,single,secondary,783,yes,no,320,no
41,married,secondary,0,yes,no,160,no
46,married,unknown,80,yes,no,245,no
40,divorced,secondary,105,yes,no,189,no
29,married,secondary,182,yes,yes,477,no
49,married,secondary,82,yes,no,310,no
42,married,tertiary,0,yes,no,65,no
54,married,secondary,510,yes,no,196,no
40,single,tertiary,242,yes,no,221,no
53,married,secondary,244,yes,yes,197,no
49,married,tertiary,92,yes,no,221,no
40,married,primary,0,yes,no,64,no
29,single,secondary,948,yes,no,75,no
36,married,primary,23,yes,no,400,no
37,married,secondary,710,yes,no,378,no
39,married,secondary,1205,yes,no,118,no
36,married,secondary,368,yes,yes,1597,yes
44,married,tertiary,1631,yes,no,346,no
40,married,secondary,6,yes,no,60,no
49,married,secondary,26,yes,no,276,no
30,single,unknown,-48,yes,no,152,no
57,married,tertiary,2142,yes,no,251,no
24,single,secondary,77,yes,yes,390,no
46,married,unknown,401,yes,no,306,no
33,married,secondary,21,no,no,189,no
43,divorced,secondary,0,yes,no,125,no
43,single,secondary,-497,yes,no,234,no
40,divorced,primary,369,no,no,79,no
44,single,unknown,78,yes,no,13,no
35,single,tertiary,226,yes,yes,283,no
47,married,secondary,503,yes,no,109,no
33,married,secondary,372,yes,no,132,no
31,married,secondary,0,yes,yes,144,no
40,divorced,secondary,0,yes,no,121,no
36,married,tertiary,125,yes,no,95,no
